Source,Destination,Duration,Route,Stations,Interchanges,Normal Fare
AG-DMS,Airport,26Min,@Blue: AG-DMS: Teynampet: Nandanam: Saidapet: Little Mount: Guindy: Alandur: Nanganallur Road: Meenambakkam: Airport:,10,0,40
AG-DMS,Alandur,16Min,@Blue: AG-DMS: Teynampet: Nandanam: Saidapet: Little Mount: Guindy: Alandur:,7,0,30
AG-DMS,Anna Nagar East,37Min,@Blue: AG-DMS: Teynampet: Nandanam: Saidapet: Little Mount: Guindy:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East:,16,1,50
AG-DMS,Anna Nagar Tower,35Min,@Blue: AG-DMS: Teynampet: Nandanam: Saidapet: Little Mount: Guindy:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower:,15,1,50
AG-DMS,Arumbakkam,26Min,@Blue: AG-DMS: Teynampet: Nandanam: Saidapet: Little Mount: Guindy:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam:,11,1,45
AG-DMS,Ashok Nagar,21Min,@Blue: AG-DMS: Teynampet: Nandanam: Saidapet: Little Mount: Guindy:;@Green: Alandur: Ekkattuthangal: Ashok Nagar:,9,1,40
AG-DMS,Chennai Central,51Min,@Blue: AG-DMS: Teynampet: Nandanam: Saidapet: Little Mount: Guindy:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medica,22,1,60
AG-DMS,CMBT,28Min,@Blue: AG-DMS: Teynampet: Nandanam: Saidapet: Little Mount: Guindy:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT:,12,1,45
AG-DMS,Egmore,48Min,@Blue: AG-DMS: Teynampet: Nandanam: Saidapet: Little Mount: Guindy:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medica,21,1,60
AG-DMS,Ekkattuthangal,18Min,@Blue: AG-DMS: Teynampet: Nandanam: Saidapet: Little Mount: Guindy:;@Green: Alandur: Ekkattuthangal:,8,1,35
