Station Name,Line,Opened,Layout
ADARSH NAGAR, Yellow Line ,04-Feb-09,Elevated
AIIMS, Yellow Line ,03-Sep-10,Underground
AKSHARDHAM, Blue Line ,12-Nov-09,Elevated
ANAND VIHAR, Blue Line branch ,06-Jan-10,Elevated
ANAND VIHAR, Pink Line ,31-Oct-18,Elevated
ARJANGARH, Yellow Line ,21-Jun-10,Elevated
ARTHALA, Red Line ,08-Mar-19,Elevated
ASHOK PARK MAIN, Green Line ,02-Apr-10,Elevated
ASHRAM, Pink Line ,31-Dec-18,Underground
AZADPUR, Yellow Line ,04-Feb-09,Elevated
AZADPUR, Pink Line ,14-Mar-18,Underground
BADARPUR, Violet Line ,14-Jan-11,Elevated
BADKAL MOR, Violet Line ,06-Sep-15,Elevated
BAHADURGARH CITY, Green Line ,24-Jun-18,Elevated
BARAKHAMBA ROAD, Blue Line ,30-Dec-05,Underground
BATA CHOWK, Violet Line ,06-Sep-15,Elevated
BHIKAJI CAMA PLACE, Pink Line ,06-Aug-18,Underground
BOTANICAL GARDEN, Blue Line ,12-Nov-09,Elevated
BOTANICAL GARDEN, Magenta Line ,25-Dec-17,Elevated
BRIG. HOSHIAR SINGH, Green Line ,24-Jun-18,Elevated
CENTRAL SECRETARIAT, Yellow Line ,03-Jul-05,Underground
CENTRAL SECRETARIAT, Violet Line ,03-Oct-10,Underground
CHANDNI CHOWK, Yellow Line ,03-Jul-05,Underground
CHAWRI BAZAR, Yellow Line ,03-Jul-05,Underground
CHHATTARPUR, Yellow Line ,26-Aug-10,Elevated
CHIRAG DELHI, Magenta Line ,29-May-18,Underground
CIVIL LINES, Yellow Line ,20-Dec-04,Underground
DABRI MOR JANAKPURI SOUTH, Magenta Line ,29-May-18,Underground
DASHRATHPURI, Magenta Line ,29-May-18,Underground
DELHI AEROCITY, Orange Line ,15-Aug-11,Underground
DELHI CANTT, Pink Line ,14-Mar-18,Elevated
DELHI GATE, Violet Line ,28-May-17,Underground
DHAULA KUAN, Orange Line ,15-Aug-11,Elevated
DILSHAD GARDEN, Red Line ,04-Jun-08,Elevated
DURGABAI DESHMUKH SOUTH CAMPUS, Pink Line ,14-Mar-18,Elevated
