Line,Section,Peak Hours on Weekdays,Peak Hours on Saturday,Peak Hours on Sunday,Off Peak Hours on Weekdays,Off Peak Hours on Saturday,Off Peak Hours on Sunday
RED,Entire Section,03 min 4 sec,3 min 26 sec,5 min,3 min 53 sec,4 min 15 sec,5 min
YELLOW,Samaypur badli to Vishwavidyalaya,05 min 34 sec,5 min 56 sec,6 min 48 sec,6 min 32 sec,6 min 32 sec,6 min 48 sec
YELLOW,Vishwavidyalaya to Huda City Centre,02 min 47 sec,2 min 58 sec,3 min 19 sec,3 min 16 sec,3 min 16 sec,3 min 19 sec
BLUE,Dwarka to Yamuna Bank,02 min 38 sec,2 min 55 sec,3 min 22 sec,02 min 42 sec,2 min 55 sec,3 min 22 sec
BLUE,Dwarka Sector 21 to Dwarka,3 min 57 sec,4 min 23 sec,10 min 06 sec,04 min 03 sec,4 min 23 sec,10 min 06 sec
BLUE,Yamuna Bank to Noida City Center,5 min 16 sec,5 min 50 sec,06 min 44 sec,5 min 24 sec,5 min 50 sec,06 min 44 sec
BLUE,Yamuna Bank to Vaishali,5 min 16 sec,5 min 50 sec,06 min 44 sec,5 min 24 sec,5 min 50 sec,06 min 44 sec
GREEN,Mundka to Ashok Park Main,4 min 15 sec,4 min 30 sec,4 min 45 sec,4 min 28 sec,4 min 45 sec,4 min 45 sec
GREEN,Kirti Nagar-Inder Lok to Ashok Park Main,8 min 30 sec,9 min 00 sec,9 min 30 sec,8 min 56 sec,9 min 30 sec,9 min 30 sec
GREEN,Mundka to Brigadier Hoshiyar Singh,6 min 22 sec,9 min 00 sec,9 min 30 sec,6 min 42 sec,9 min 30 sec,9 min 30 sec
VIOLET,Kashmere Gate to Badarpur Border,03 min 20 sec,03 min 24 sec,5 min 05 sec,4 min 05 sec,4 min 30 sec,5 min 20 sec
VIOLET,Badarpur Border to Raja Nahar Singh,06 min 48 sec,06 min 48 sec,10 min 10 sec,8 min 10 sec,9 min 00 sec,10 min 10 sec
PINK,Majlis to Lajpat Nagar,05 min 12 sec,05 min 25 sec,05 min 45 sec,05 min 45 sec,6 min 00 sec,05 min 45 sec
PINK,I.P. Extension to Maujpur,05 min 12 sec,05 min 12 sec,07 min 48 sec,05 min 12 sec,05 min 12 sec,07 min 48 sec
PINK,Trilokpuri Sanjay Lake to I.P. Extension,15 min 36 sec,15 min 36 sec,15 min 36 sec,15 min 36 sec,15 min 36 sec,15 min 36 sec
PINK,Maujpur to Shiv Vihar,05 min 12 sec,07 min 30 sec,07 min 30 sec,05 min 12 sec,07 min 30 sec,07 min 30 sec
MAGENTA,Janakpuri West to Botanical Garden,05 min 05 sec,05 min 15 sec,6 min 00 sec,05 min 30 sec,05 min 40 sec,6 min 00 sec
ORANGE/AIRPORT,Dwarka Sector 21 to New Delhi,10 min,10 min,10 min,10 min,10 min,10 min
