Id,TrainNo,SourceCode,DestinationCode,Cars,StartingFrom,EndAt,DepartureTime,ArrivalTime,Type,Quota,DaysOfRun
1,47100,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,5:10AM,5:13AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
2,47101,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,6:00AM,6:03AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
3,47102,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,6:40AM,6:43AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
4,47103,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,7:20AM,7:23AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
5,47104,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,7:50AM,7:53AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
6,47105,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,8:20AM,8:23AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
7,47106,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,9:00AM,9:03AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
8,47107,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,9:35AM,9:38AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
9,47108,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,10:10AM,10:13AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
10,47109,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,10:50AM,10:53AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
11,47110,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,11:25AM,11:28AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
12,47111,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,11:55AM,11:58AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
13,47112,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,1:05PM,1:08PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
14,47113,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,2:30PM,2:33PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
15,47114,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,3:10PM,3:13PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
16,47115,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,3:40PM,3:43PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
17,47116,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,4:00PM,4:03PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
18,47117,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,4:50PM,4:53PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
19,47118,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,5:35PM,5:38PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
20,47119,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,6:05PM,6:08PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
21,47120,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,7:00PM,7:03PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
22,47121,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,7:30PM,7:33PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
23,47122,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,8:00PM,8:03PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
24,47123,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,8:50PM,8:53PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
25,47124,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,9:20PM,9:23PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
26,47125,Hyderabad,Lakdikapul,NA,Hyderabad,Lingampally,9:50PM,9:53PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
27,47100,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,5:10AM,5:15AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
