Source,Destination,Duration,Route,Stations,Interchanges,Normal Fare,Concessional Fare(Sunday and national holiday)
Ameerpet,Assembly,12 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,6,0,25,25
Ameerpet,Balanagar,12 Min,@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,7,0,25,25
Ameerpet,Begumpet,2 Min,@Red: Ameerpet:;@Blue: Begumpet:,2,1,10,10
Ameerpet,Bharat Nagar,8 Min,@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,5,0,15,15
Ameerpet,Chaitanyapuri,31 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station: Malakpet: New Market: Musarambagh: Dilsukhnagar: Chaitanyapuri:,15,0,45,45
Ameerpet,Dilsukhnagar,29 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station: Malakpet: New Market: Musarambagh: Dilsukhnagar:,14,0,40,40
Ameerpet,Durgam Chervu,17 Min,@Blue: Ameerpet: Madhura Nagar: Yusuf Guda: Jubilee Hills Road No 5: Jubilee Hills Check Post: Pedamma Temple: Madhapur: Durgam Chervu:,8,0,35,35
Ameerpet,Erragadda,6 Min,@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda:,4,0,15,15
Ameerpet,ESI Hospital,4 Min,@Red: Ameerpet: S R Nagar: ESI Hospital:,3,0,10,10
Ameerpet,Gandhi Bhavan,16 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly: Nampally: Gandhi Bhavan:,8,0,30,30
Ameerpet,Habsiguda,21 Min,@Red: Ameerpet:;@Blue: Begumpet: Prakash Nagar: Rasool Pura: Paradise: Parade Grounds: Secunderabad: Mettuguda: Tarnaka: Habsiguda:,10,1,40,40
Ameerpet,Hitech City,19 Min,@Blue: Ameerpet: Madhura Nagar: Yusuf Guda: Jubilee Hills Road No 5: Jubilee Hills Check Post: Pedamma Temple: Madhapur: Durgam Chervu: Hitech City:,9,0,35,35
Ameerpet,Irrum Manzil,5 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil:,3,0,15,15
Ameerpet,JNTU College,20 Min,@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar: Kukatpally: KPHB Colony: JNTU College:,10,0,35,35
Ameerpet,Jubilee Hills Check Post,10 Min,@Blue: Ameerpet: Madhura Nagar: Yusuf Guda: Jubilee Hills Road No 5: Jubilee Hills Check Post:,5,0,25,25
Ameerpet,Jubilee Hills Road No 5,7 Min,@Blue: Ameerpet: Madhura Nagar: Yusuf Guda: Jubilee Hills Road No 5:,4,0,15,15
Ameerpet,Khairatabad,8 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad:,4,0,15,15
Ameerpet,KPHB Colony,17 Min,@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar: Kukatpally: KPHB Colony:,9,0,35,35
Ameerpet,Kukatpally,14 Min,@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar: Kukatpally:,8,0,30,30
Ameerpet,Lakdikapul,10 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul:,5,0,25,25
Ameerpet,LB Nagar,35 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station: Malakpet: New Market: Musarambagh: Dilsukhnagar: Chaitanyapuri: Victoria Memorial: LB Nagar:,17,0,45,45
Ameerpet,Madhapur,14 Min,@Blue: Ameerpet: Madhura Nagar: Yusuf Guda: Jubilee Hills Road No 5: Jubilee Hills Check Post: Pedamma Temple: Madhapur:,7,0,30,30
Ameerpet,Madhura Nagar,2 Min,@Blue: Ameerpet: Madhura Nagar:,2,0,10,10
Ameerpet,Malakpet,22 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station: Malakpet:,11,0,35,35
Ameerpet,Mettuguda,16 Min,@Red: Ameerpet:;@Blue: Begumpet: Prakash Nagar: Rasool Pura: Paradise: Parade Grounds: Secunderabad: Mettuguda:,8,1,35,35
Ameerpet,MG Bus station,20 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station:,10,0,35,35
Ameerpet,Miyapur,23 Min,@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar: Kukatpally: KPHB Colony: JNTU College: Miyapur:,11,0,40,40
Ameerpet,Moosapet,10 Min,@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet:,6,0,25,25
Ameerpet,Musarambagh,26 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station: Malakpet: New Market: Musarambagh:,13,0,40,40
