Station Name,Line,Opened,Layout
Ameerpet, Blue Line ,29-Nov-17,Elevated
Ameerpet, Red Line ,29-Nov-17,Elevated
Assembly, Red Line ,24-Sep-18,Elevated
Begumpet, Blue Line ,29-Nov-17,Elevated
Bharat Nagar, Red Line ,29-Nov-17,Elevated
Chaitanyapuri, Red Line ,24-Sep-18,Elevated
Dilsukhnagar, Red Line ,24-Sep-18,Elevated
Balanagar, Red Line ,29-Nov-17,Elevated
Durgam Chervu, Blue Line ,20-Mar-19,Elevated
Erragadda, Red Line ,29-Nov-17,Elevated
ESI Hospital, Red Line ,29-Nov-17,Elevated
Gandhi Bhavan, Red Line ,24-Sep-18,Elevated
Habsiguda, Blue Line ,29-Nov-17,Elevated
Hitech City, Blue Line ,20-Mar-19,Elevated
Irrum Manzil, Red Line ,24-Sep-18,Elevated
JNTU College, Red Line ,29-Nov-17,Elevated
Jubilee Hills Check Post, Blue Line ,18-May-19,Elevated
Khairatabad, Red Line ,24-Sep-18,Elevated
KPHB Colony, Red Line ,29-Nov-17,Elevated
Kukatpally, Red Line ,29-Nov-17,Elevated
LB Nagar, Red Line ,24-Sep-18,Elevated
Lakdikapul, Red Line ,24-Sep-18,Elevated
Madhapur, Blue Line ,13-Apr-19,Elevated
Malakpet, Red Line ,24-Sep-18,Elevated
Mettuguda, Blue Line ,29-Nov-17,Elevated
MG Bus station, Red Line ,24-Sep-18,Elevated
Miyapur, Red Line ,29-Nov-17,Elevated
Moosapet, Red Line ,29-Nov-17,Elevated
Musarambagh, Red Line ,24-Sep-18,Elevated
Nagole, Blue Line ,29-Nov-17,Elevated
Nampally, Red Line ,24-Sep-18,Elevated
New Market, Red Line ,24-Sep-18,Elevated
NGRI, Blue Line ,29-Nov-17,Elevated
Osmania Medical College, Red Line ,24-Sep-18,Elevated
Parade Grounds, Blue Line ,29-Nov-17,Elevated
Paradise, Blue Line ,29-Nov-17,Elevated
Pedamma Temple, Blue Line ,30-Mar-19,Elevated
Prakash Nagar, Blue Line ,29-Nov-17,Elevated
Punjagutta, Red Line ,24-Sep-18,Elevated
Rasool Pura, Blue Line ,29-Nov-17,Elevated
Jubilee Hills Road No 5, Blue Line ,20-Mar-19,Elevated
S R Nagar, Red Line ,29-Nov-17,Elevated
Secunderabad, Blue Line ,29-Nov-17,Elevated
Uppal Stadium, Blue Line ,29-Nov-17,Elevated
Tarnaka, Blue Line ,29-Nov-17,Elevated
Madhura Nagar, Blue Line ,20-Mar-19,Elevated
Uppal, Blue Line ,29-Nov-17,Elevated
Victoria Memorial, Red Line ,24-Sep-18,Elevated
Yusuf Guda, Blue Line ,20-Mar-19,Elevated
