Source,Destination,Duration,Route,Stations,Interchanges,Normal Fare,Concessional Fare(Sunday and national holiday)
Ameerpet,Assembly,12 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,6,0,25,25
Ameerpet,Balanagar,12 Min,@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,7,0,25,25
Ameerpet,Begumpet,2 Min,@Red: Ameerpet:;@Blue: Begumpet:,2,1,10,10
Ameerpet,Bharat Nagar,8 Min,@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,5,0,15,15
Assembly,Ameerpet,12 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:,6,0,25,25
Assembly,Balanagar,24 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,12,0,40,40
Assembly,Begumpet,14 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Begumpet:,7,1,30,30
Assembly,Bharat Nagar,20 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,10,0,35,35
Balanagar,Ameerpet,12 Min,@Red: Balanagar: Moosapet: Bharat Nagar: Erragadda: ESI Hospital: S R Nagar: Ameerpet:,7,0,25,25
Balanagar,Assembly,24 Min,@Red: Balanagar: Moosapet: Bharat Nagar: Erragadda: ESI Hospital: S R Nagar: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,12,0,40,40
Balanagar,Begumpet,14 Min,@Red: Balanagar: Moosapet: Bharat Nagar: Erragadda: ESI Hospital: S R Nagar: Ameerpet:;@Blue: Begumpet:,8,1,30,30
Balanagar,Bharat Nagar,4 Min,@Red: Balanagar: Moosapet: Bharat Nagar:,3,0,10,10
Begumpet,Ameerpet,2 Min,@Blue: Begumpet:;@Red: Ameerpet:,2,1,10,10
Begumpet,Assembly,14 Min,@Blue: Begumpet:;@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,7,1,30,30
Begumpet,Balanagar,14 Min,@Blue: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,8,1,30,30
Begumpet,Bharat Nagar,10 Min,@Blue: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,6,1,25,25
Bharat Nagar,Ameerpet,8 Min,@Red: Bharat Nagar: Erragadda: ESI Hospital: S R Nagar: Ameerpet:,5,0,15,15
Bharat Nagar,Assembly,20 Min,@Red: Bharat Nagar: Erragadda: ESI Hospital: S R Nagar: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,10,0,35,35
Bharat Nagar,Balanagar,4 Min,@Red: Bharat Nagar: Moosapet: Balanagar:,3,0,10,10
Bharat Nagar,Begumpet,10 Min,@Red: Bharat Nagar: Erragadda: ESI Hospital: S R Nagar: Ameerpet:;@Blue: Begumpet:,6,1,25,25
Chaitanyapuri,Ameerpet,31 Min,@Red: Chaitanyapuri: Dilsukhnagar: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:,15,0,45,45
Chaitanyapuri,Assembly,19 Min,@Red: Chaitanyapuri: Dilsukhnagar: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly:,10,0,35,35
Chaitanyapuri,Balanagar,43 Min,@Red: Chaitanyapuri: Dilsukhnagar: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,21,0,50,50
Chaitanyapuri,Begumpet,33 Min,@Red: Chaitanyapuri: Dilsukhnagar: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Begumpet:,16,1,45,45
Chaitanyapuri,Bharat Nagar,39 Min,@Red: Chaitanyapuri: Dilsukhnagar: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,19,0,45,45
Dilsukhnagar,Ameerpet,29 Min,@Red: Dilsukhnagar: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:,14,0,40,40
Dilsukhnagar,Assembly,17 Min,@Red: Dilsukhnagar: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly:,9,0,30,30
